phase,activity,input_tokens,output_tokens,ai_cost_usd,human_hours_ai,human_hours_review,counterfactual_profile,counterfactual_hours,hourly_rate_usd,counterfactual_cost_usd
Pre-proposal,Domain analysis and selection (10 domains),8000.0,6000.0,0.96,0.5,0.5,Mid-level,6.0,6.67,40.0
Pre-proposal,Project structure and reference architecture,5000.0,12000.0,1.17,1.0,0.5,Senior,8.0,10.88,87.02
Pre-proposal,Production-ready best-practices research,4000.0,15000.0,1.3,0.5,0.3,Senior,5.0,10.88,54.39
Pre-proposal,Product vision and market flow,3000.0,10000.0,0.89,0.5,0.2,Mid-level,4.0,6.67,26.67
Pre-proposal,Proposal document writing,6000.0,8000.0,0.96,1.0,1.0,Mid-level,6.0,6.67,40.0
Pre-proposal,Review and consolidation,2000.0,3000.0,0.34,0.5,1.0,Mid-level,2.0,6.67,13.34
Pre-proposal,Pitch deck generation (outline),3000.0,2000.0,0.34,0.5,0.0,Mid-level,0.0,6.67,0.0
P1,Initial repository cloning and parser setup,15000.0,8000.0,1.06,1.0,0.5,Senior,8.0,10.88,87.02
P1,Tree-sitter integration for 15 languages,25000.0,18000.0,1.98,2.0,1.0,Senior,16.0,10.88,174.05
P1,Semantic chunking service design,18000.0,15000.0,1.52,1.5,1.0,Senior,12.0,10.88,130.54
P1,Vector database selection and test (ChromaDB),12000.0,10000.0,1.01,1.0,0.5,Mid-level,10.0,6.67,66.68
P1,OpenAI vs Local embeddings benchmark,20000.0,25000.0,2.07,1.5,1.0,Senior,14.0,10.88,152.29
P1,Git history parsing service,14000.0,12000.0,1.2,1.0,1.0,Mid-level,12.0,6.67,80.02
P1,Hexagonal architecture scaffolding,10000.0,25000.0,1.61,1.0,0.5,Senior,16.0,10.88,174.05
P1,Dependency injection setup,8000.0,15000.0,1.06,0.5,0.2,Mid-level,8.0,6.67,53.35
P1,PostgreSQL schema design and alembic setup,12000.0,18000.0,1.38,1.0,0.5,Mid-level,10.0,6.67,66.68
P1,Initial unit tests for core domain,6000.0,20000.0,1.2,0.4,1.0,Junior,12.0,3.86,46.32
P1,RAG retrieval logic implementation,18000.0,25000.0,1.98,0.5,1.5,Senior,18.0,10.88,195.81
P2,FastAPI endpoints definition (Chat & History),15000.0,12000.0,1.49,0.5,1.0,Mid-level,8.0,6.67,53.35
P2,JWT authentication middleware,10000.0,8000.0,0.99,0.4,0.5,Mid-level,4.0,6.67,26.67
P2,React frontend scaffolding (Vite + TS),8000.0,15000.0,1.27,0.5,0.2,Junior,6.0,3.86,23.16
P2,Chat UI component (Markdown + Syntax Highlight),12000.0,18000.0,1.65,1.0,0.5,Mid-level,10.0,6.67,66.68
P2,Guided tour UI component,10000.0,15000.0,1.38,0.5,0.5,Mid-level,8.0,6.67,53.35
P2,Dependency graph visualization (D3/ReactFlow),20000.0,25000.0,2.48,0.8,1.5,Senior,16.0,10.88,174.05
P2,Frontend state management (Zustand),6000.0,10000.0,0.88,0.2,0.3,Mid-level,4.0,6.67,26.67
P2,Integration tests for API,8000.0,22000.0,1.65,0.3,1.0,Junior,12.0,3.86,46.32
P2,Dockerfile and compose setup,5000.0,8000.0,0.72,0.0,0.5,Mid-level,3.0,6.67,20.0
P3,System-wide E2E tests,18000.0,35000.0,3.22,1.0,1.5,Senior,24.0,10.88,261.08
P3,Bugfixing edge cases in RAG retrieval,25000.0,15000.0,2.43,1.0,0.5,Mid-level,10.0,6.67,66.68
P3,Refining LLM prompts (Catalog 001-005),15000.0,12000.0,1.64,0.5,1.5,Senior,12.0,10.88,130.54
P3,Performance optimization (ThreadPoolExecutor),12000.0,8000.0,1.21,0.5,0.5,Senior,8.0,10.88,87.02
P3,Handling massive repositories (Chunk limit),10000.0,12000.0,1.33,0.3,0.5,Mid-level,6.0,6.67,40.0
P3,Security audit and webhook hardening,8000.0,15000.0,1.4,0.5,1.0,Senior,12.0,10.88,130.54
P4,Metrics collection middleware,12000.0,10000.0,1.49,0.5,0.5,Mid-level,8.0,6.67,53.35
P4,Instrumentation of latency and tokens,8000.0,12000.0,1.35,0.5,0.5,Mid-level,6.0,6.67,40.0
P4,Dashboard API endpoints,10000.0,15000.0,1.69,0.3,0.5,Mid-level,8.0,6.67,53.35
P4,Dashboard UI implementation,14000.0,20000.0,2.3,0.8,0.5,Mid-level,12.0,6.67,80.02
P4,Cost model calculation logic,15000.0,10000.0,1.69,0.5,0.5,Senior,10.0,10.88,108.78
P4,Historical drift interpretation logic,20000.0,15000.0,2.36,1.0,1.0,Senior,16.0,10.88,174.05
P4,Tech debt heuristics implementation,18000.0,25000.0,2.9,0.7,0.5,Senior,14.0,10.88,152.29
Quality-improvements,Refactoring module structure,15000.0,12000.0,2.15,0.5,1.0,Mid-level,12.0,6.67,80.02
Quality-improvements,Adding comprehensive docstrings,10000.0,30000.0,3.19,0.2,0.5,Junior,16.0,3.86,61.76
Quality-improvements,Addressing sonar/linter warnings,8000.0,15000.0,1.83,0.3,0.5,Junior,8.0,3.86,30.88
Quality-improvements,Writing README and architecture docs,20000.0,18000.0,3.03,0.5,1.0,Mid-level,10.0,6.67,66.68
Quality-improvements,CI/CD pipeline configuration,12000.0,8000.0,1.59,0.5,0.5,Senior,6.0,10.88,65.27
Quality-improvements,Stress testing vector DB connections,,,,0.0,0.0,,,0.0,
Quality-improvements,Manual review of edge cases,,,,0.0,0.5,,,0.0,
